City_ID,City,Max Temp,Lat,Lng,Hotel Name
440,Cayenne,75.24,4.9333,-52.3333,Hôtel Le Dronmi
443,Nishihara,67.66,26.1842,127.7558,Minshuku Agaihama
445,Zvishavane,67.55,-20.3267,30.0665,Hotel Boutique Runde
448,Acari,69.51,-15.4311,-74.6158,HOSPEDAJE XIMENA
452,Hirara,70.68,24.8,125.2833,Hotel Atoll Emerald Miyakojima
454,San Blas,78.69,21.5167,-105.2667,Hotel Posada del Rey
457,Wanning,72.39,18.8003,110.3967,Paradise Hotel
459,Faya,50.52,18.3851,42.4509,املاك خالد الشعشوع
460,Mineros,74.79,-17.1167,-63.2333,Colpacaranda Eco Resort
461,Asfi,55.9,32.2994,-9.2372,Hôtel Abda
462,La Ligua,62.38,-32.4524,-71.2311,Hotel Anchimallen
466,Saint-Leu,72.46,-21.15,55.2833,La Caz Oceane
467,Grand Gaube,73.8,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
471,Naze,64.63,28.3667,129.4833,Shishime Hotel
472,Rong Kwang,71.53,18.339,100.3174,Rong Kwang Hotel
474,San Quintin,65.23,30.4833,-115.95,Don Eddie's Sport Fishing Center
476,Luwingu,65.12,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
477,Chicama,63.14,-7.8447,-79.1469,Balihai Bungalows
480,Nueva Loja,73.38,0.0847,-76.8828,Limoncocha Great Hotel
488,Benjamin Constant,78.93,-4.3831,-70.0311,CASA AVALIADA
490,Bloemfontein,58.01,-29.1211,26.214,aha Bloemfontein Hotel
493,Port Lincoln,69.91,-34.7333,135.8667,Port Lincoln Hotel
494,San Francisco,66.02,37.7749,-122.4194,The Clift Royal Sonesta Hotel
495,Ucluelet,52.11,48.9329,-125.5528,Black Rock Oceanfront Resort
498,Bonanza,70.05,14.0289,-84.591,Edificio Administrativo HEMCO
500,Talara,66.33,-4.5772,-81.2719,Hostal Oro Negro
503,Lahaina,79.84,20.8783,-156.6825,Lahaina Shores Beach Resort
504,Mandeville,69.85,18.0417,-77.5071,Mandeville Hotel
505,Taoudenni,64.58,22.6783,-3.9836,
507,Ankazobe,63.01,-18.3167,47.1167,
508,Lixourion,62.08,38.2019,20.4314,Hotel Summery
509,Ribeira Brava,65.03,32.65,-17.0667,Hotel do Campo
513,Sao Jose Da Coroa Grande,79.45,-8.8978,-35.1478,Crôa Mares Hotel
514,Durango,52.86,24.8333,-104.8333,
516,Olavarria,59.31,-36.8927,-60.3225,Hotel Santa Rosa
518,Uyuni,56.88,-20.4597,-66.825,Hostal La Magia de Uyuni
519,Durres,55.58,41.3231,19.4414,Palace Hotel & Spa Durrës
521,Gresham,61.61,45.4982,-122.4315,McMenamins Edgefield
522,Barabai,76.68,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
523,Comodoro Rivadavia,67.86,-45.8667,-67.5,Austral Hotel
524,Mayor Pablo Lagerenza,71.11,-19.9309,-60.7718,
526,Savalou,78.75,7.9281,1.9756,Hotel F&F
528,Adrar,58.6,20.5022,-10.0711,
530,West Bay,78.87,19.3667,-81.4167,Calypso Cove
534,Elbasan,54.32,41.1125,20.0822,Kriva Resort
535,Plomarion,67.19,38.9767,26.3681,Sandy Bay Hotel
536,Canavieiras,75.51,-15.675,-38.9472,Bahiadomizil
537,Malanje,61.97,-9.5402,16.341,Malanje Hotel
538,Eureka,52.41,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
539,La Orilla,77.61,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
541,Lethem,79.52,3.3803,-59.7968,Savannah Inn
544,Golden,59.29,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
545,Kapoeta,78.8,4.7717,33.5903,Eastgate Hotel
546,Dzilam Gonzalez,75.24,21.2833,-88.9333,posadas
548,Sambava,74.23,-14.2667,50.1667,Melrose
549,Venustiano Carranza,64.38,19.43,-99.0992,We Hotel Aeropuerto
550,Pakxan,67.3,18.3778,103.6601,Kong Kham Pheng Guesthouse
552,Huarmey,67.12,-10.0681,-78.1522,Hotel Miramar
553,Santona,55.33,43.4439,-3.4576,Playamar
