City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Alofi,NU,2021-11-28 20:05:50,-19.0595,-169.9187,80.49,57,40,13.8
196,Maraba,BR,2021-11-28 20:02:22,-5.3686,-49.1178,84.58,66,100,3.6
197,Ipixuna,BR,2021-11-28 20:05:51,-1.7625,-48.8043,75.15,74,100,5.08
198,Soro,IN,2021-11-28 20:05:51,21.2881,86.6858,65.43,55,49,3.4
199,Berezovo,RU,2021-11-28 20:05:52,63.9381,65.0419,14.32,95,100,10.83
200,Saldanha,ZA,2021-11-28 20:05:52,-33.0117,17.9442,63.32,85,0,5.44
201,Nambiyur,IN,2021-11-28 20:05:52,11.3667,77.3333,74.79,92,99,2.62
202,Henties Bay,NA,2021-11-28 20:05:53,-22.116,14.2845,60.42,90,0,7.14
203,Turukhansk,RU,2021-11-28 20:05:53,65.8167,87.9833,-10.07,100,89,3.98
204,Paamiut,GL,2021-11-28 20:05:53,61.994,-49.6678,38.98,90,100,30.49
205,Beyla,GN,2021-11-28 20:05:54,8.6833,-8.6333,75.36,47,11,3.0
206,Dumas,US,2021-11-28 20:05:54,35.8656,-101.9732,63.75,25,1,19.57
207,Sapouy,BF,2021-11-28 20:05:55,11.5544,-1.7736,79.47,15,60,6.24
208,Boa Vista,BR,2021-11-28 20:05:55,2.8197,-60.6733,93.18,38,20,14.97
209,Caibarien,CU,2021-11-28 20:05:55,22.5206,-79.4669,81.72,69,42,7.2
210,Zabid,YE,2021-11-28 20:05:56,14.1951,43.3152,82.22,55,0,4.25
211,Ostrovnoy,RU,2021-11-28 20:05:56,68.0531,39.5131,16.0,83,100,8.32
212,Grindavik,IS,2021-11-28 20:05:57,63.8424,-22.4338,43.27,100,90,13.8
213,Rafai,CF,2021-11-28 20:05:57,4.95,23.9167,77.31,45,98,0.85
214,Havoysund,NO,2021-11-28 20:05:57,70.9963,24.6622,14.23,88,53,11.43
215,Barra Patuca,HN,2021-11-28 20:05:58,15.8,-84.2833,81.14,65,36,8.1
216,Gat,IL,2021-11-28 20:05:58,31.61,34.7642,61.48,39,15,1.61
217,Faanui,PF,2021-11-28 20:05:59,-16.4833,-151.75,81.37,74,100,11.81
218,Tecoanapa,MX,2021-11-28 20:05:59,16.5167,-98.75,83.05,66,93,7.47
219,Linqiong,CN,2021-11-28 20:05:59,30.4159,103.4609,53.53,78,100,1.74
220,Rio Esteban,HN,2021-11-28 20:06:00,15.8333,-86.3,82.67,60,16,5.55
221,Pemangkat,ID,2021-11-28 20:06:00,1.1667,108.9667,76.64,82,85,5.19
222,Buala,SB,2021-11-28 20:06:01,-8.145,159.5921,81.3,80,78,6.8
223,San Quintin,MX,2021-11-28 20:06:01,30.4833,-115.95,73.0,34,0,8.57
224,Mugur-Aksy,RU,2021-11-28 20:06:01,50.35,90.5,5.61,90,46,6.11
225,Tiksi,RU,2021-11-28 20:06:02,71.6872,128.8694,-13.34,99,99,6.44
226,Belmonte,BR,2021-11-28 20:06:02,-15.8631,-38.8828,79.3,83,37,14.16
227,Contamana,PE,2021-11-28 20:06:02,-7.3333,-75.0167,96.82,34,72,5.75
228,Luorong,CN,2021-11-28 20:06:03,24.4058,109.6086,54.91,75,1,4.59
229,Shakawe,BW,2021-11-28 20:06:03,-18.3667,21.85,75.13,57,77,3.78
230,Krasnorechenskiy,RU,2021-11-28 20:07:04,44.6265,135.3532,26.8,80,85,6.51
231,Kilindoni,TZ,2021-11-28 20:07:04,-7.9139,39.6668,81.3,77,97,12.66
232,Carutapera,BR,2021-11-28 20:07:04,-1.195,-46.02,84.2,66,6,8.14
233,Egvekinot,RU,2021-11-28 20:07:05,66.3167,-179.1667,-6.61,97,100,1.07
234,Severo-Kurilsk,RU,2021-11-28 20:07:05,50.6789,156.125,33.08,82,100,12.57
235,Mastic Beach,US,2021-11-28 20:07:06,40.7668,-72.8521,41.2,70,90,3.44
236,Xining,CN,2021-11-28 20:07:06,36.6167,101.7667,21.42,88,100,4.0
237,Constitucion,CL,2021-11-28 20:07:06,-35.3333,-72.4167,64.36,55,5,21.97
238,Polunochnoye,RU,2021-11-28 20:07:07,60.8697,60.4153,24.4,90,100,5.68
239,Ust-Omchug,RU,2021-11-28 20:07:07,61.15,149.6333,-9.69,99,100,6.02
240,Cherskiy,RU,2021-11-28 20:07:08,68.75,161.3,-9.02,99,100,6.42
241,Paragominas,BR,2021-11-28 20:07:08,-2.9667,-47.4833,86.25,57,59,3.6
242,Linxia,CN,2021-11-28 20:07:09,35.6003,103.2064,22.96,92,100,1.66
243,Lebu,CL,2021-11-28 20:07:09,-37.6167,-73.65,56.89,67,6,19.64
244,Touros,BR,2021-11-28 20:07:10,-5.1989,-35.4608,85.1,72,43,11.86
245,Dudinka,RU,2021-11-28 20:07:10,69.4058,86.1778,-21.51,100,100,1.16
246,Tazovskiy,RU,2021-11-28 20:07:10,67.4667,78.7,-14.48,100,90,5.1
247,Mackenzie,CA,2021-11-28 20:07:11,55.2999,-123.1698,37.54,97,78,7.54
248,Ilulissat,GL,2021-11-28 20:07:11,69.2167,-51.1,17.62,53,100,2.3
249,Porbandar,IN,2021-11-28 20:07:12,21.6422,69.6093,77.97,63,72,4.83
250,Conceicao Do Araguaia,BR,2021-11-28 20:07:12,-8.2578,-49.2647,78.8,89,100,2.89
251,Muroto,JP,2021-11-28 20:07:13,33.2833,134.15,53.53,60,1,4.54
252,Aklavik,CA,2021-11-28 20:07:13,68.2191,-135.0107,-10.48,88,100,20.22
253,Stykkisholmur,IS,2021-11-28 20:07:13,65.0757,-22.7297,37.87,96,100,5.57
254,Corrales,US,2021-11-28 20:07:14,35.2378,-106.6067,66.74,24,1,4.61
255,Chipinge,ZW,2021-11-28 20:07:14,-20.1883,32.6236,61.52,73,0,5.06
256,Huaral,PE,2021-11-28 20:07:15,-11.495,-77.2078,66.13,67,70,8.61
257,Mitsamiouli,KM,2021-11-28 20:07:15,-11.3847,43.2844,79.95,80,7,7.52
258,Mahates,CO,2021-11-28 20:07:16,10.2329,-75.1899,87.69,72,99,2.91
259,Victoriaville,CA,2021-11-28 20:03:11,46.0501,-71.9658,23.34,85,98,6.64
260,Half Moon Bay,US,2021-11-28 20:05:11,37.4636,-122.4286,66.38,67,20,4.61
261,Evensk,RU,2021-11-28 20:07:16,61.95,159.2333,15.53,95,100,3.47
262,Talnakh,RU,2021-11-28 20:07:17,69.4865,88.3972,-15.72,98,66,2.28
263,Saint-Joseph,RE,2021-11-28 20:07:18,-21.3667,55.6167,75.58,85,34,4.07
264,Pangnirtung,CA,2021-11-28 20:07:18,66.1451,-65.7125,17.69,78,100,7.92
265,Mondlo,ZA,2021-11-28 20:07:19,-27.983,30.7177,64.02,71,37,6.98
266,Taoudenni,ML,2021-11-28 20:07:19,22.6783,-3.9836,69.93,20,4,9.6
267,Gweta,BW,2021-11-28 20:07:19,-20.1833,25.2333,87.46,25,52,5.84
268,Nanortalik,GL,2021-11-28 20:07:20,60.1432,-45.2371,41.58,93,100,15.03
269,Klaksvik,FO,2021-11-28 20:07:20,62.2266,-6.589,36.52,64,100,7.05
270,Saskylakh,RU,2021-11-28 20:07:20,71.9167,114.0833,-18.44,99,99,4.65
271,Miasskoye,RU,2021-11-28 20:08:21,55.2784,61.8905,23.88,75,100,12.37
272,Dondo,MZ,2021-11-28 20:08:21,-19.6094,34.7431,72.91,83,0,5.82
273,New Norfolk,AU,2021-11-28 20:08:22,-42.7826,147.0587,51.3,88,38,2.39
274,Mount Gambier,AU,2021-11-28 20:06:50,-37.8333,140.7667,49.55,78,0,5.08
275,Yining,CN,2021-11-28 20:08:22,29.0361,114.5636,50.14,90,12,0.96
276,Sfantu Gheorghe,RO,2021-11-28 20:08:23,45.8667,25.7833,45.19,73,100,4.12
277,Ginda,IN,2021-11-28 20:08:23,30.6945,78.4932,44.51,23,0,6.96
278,Kupino,RU,2021-11-28 20:08:24,54.3663,77.2981,10.83,93,97,7.25
279,Yasugi,JP,2021-11-28 20:08:24,35.4333,133.25,46.8,68,100,6.58
280,Khandyga,RU,2021-11-28 20:08:24,62.6667,135.6,-16.31,100,100,0.76
281,Ponta Do Sol,PT,2021-11-28 20:08:25,32.6667,-17.1,63.23,76,57,8.52
282,Dokka,NO,2021-11-28 20:08:25,60.84,10.0618,20.66,94,62,2.82
